Temperature	Field	Energy	Magnetization	SpecificHeat	Susceptibility	M_x
10	-0.1	-0.305789	0.0501128	2.67686e-05	6.34359e-05	-0.0121547
10	-0.05	-0.308022	0.0503428	2.13984e-05	7.11024e-05	-0.0122279
10	-1.38778e-17	-0.312725	0.050914	2.46177e-05	6.5785e-05	0.00314327
10	0.05	-0.311677	0.0492071	2.53931e-05	6.22075e-05	0.00413385
10	0.1	-0.311041	0.0480557	2.18092e-05	6.10286e-05	0.00400651
10	0.15	-0.315139	0.0490825	2.41055e-05	6.95749e-05	0.00581629
10	0.2	-0.313973	0.0501235	2.38306e-05	8.22122e-05	0.0138418
10	0.2	-0.31351	0.0499994	2.53964e-05	6.76001e-05	0.0152109
10	0.15	-0.302556	0.0476083	2.41936e-05	6.12053e-05	0.00781782
10	0.1	-0.301244	0.0478191	2.48028e-05	6.07331e-05	0.00458468
10	0.05	-0.303714	0.0464855	2.48482e-05	6.04829e-05	0.00147497
10	1.38778e-17	-0.310943	0.0496115	2.34802e-05	6.38527e-05	-0.00463755
10	-0.05	-0.309195	0.0506034	2.26536e-05	6.29797e-05	-0.0076099
10	-0.1	-0.3028	0.0471641	2.70188e-05	5.81641e-05	-0.00452867
10	-0.15	-0.305979	0.049813	2.62603e-05	6.82102e-05	-0.00572292
10	-0.2	-0.307173	0.0495546	2.62665e-05	6.67004e-05	-0.0112555
